participant_id,lh_euler,rh_euler
sub-IXI126,-82,-112
sub-IXI127,-102,-88
sub-IXI128,-100,-90
sub-IXI129,-38,-36
sub-IXI130,-78,-84
sub-IXI131,-112,-120
sub-IXI132,-90,-104
sub-IXI134,-72,-46
sub-IXI135,-36,-40
sub-IXI136,-224,-140
sub-IXI137,-80,-78
sub-IXI138,-48,-36
sub-IXI139,-120,-50
sub-IXI140,-44,-40
sub-IXI141,-26,-36
sub-IXI142,-18,-22
sub-IXI143,-24,-36
sub-IXI144,-70,-54
sub-IXI145,-28,-48
sub-IXI146,-68,-54
sub-IXI148,-56,-68
sub-IXI150,-98,-86
sub-IXI151,-48,-28
sub-IXI153,-44,-30
sub-IXI154,-36,-38
sub-IXI156,-50,-22
sub-IXI157,-44,-26
sub-IXI158,-44,-34
sub-IXI159,-74,-86
sub-IXI160,-96,-90
sub-IXI161,-94,-102
sub-IXI162,-60,-46
sub-IXI163,-78,-124
sub-IXI164,-12,-36
sub-IXI165,-138,-148
sub-IXI166,-50,-72
sub-IXI167,-72,-60
sub-IXI169,-44,-32
sub-IXI170,-32,-34
sub-IXI172,-74,-72
sub-IXI173,-108,-78
sub-IXI174,-76,-58
sub-IXI175,-112,-124
sub-IXI176,-84,-60
sub-IXI177,-24,-36
sub-IXI178,-54,-58
sub-IXI179,-34,-44
sub-IXI180,-60,-76
sub-IXI181,-28,-28
sub-IXI183,-22,-18
sub-IXI184,-16,-12
sub-IXI185,-50,-46
sub-IXI186,-24,-32
sub-IXI188,-66,-56
sub-IXI189,-38,-46
sub-IXI191,-30,-38
sub-IXI192,-52,-26
sub-IXI193,-36,-26
sub-IXI194,-36,-44
sub-IXI195,-100,-140
sub-IXI196,-46,-50
sub-IXI197,-34,-44
sub-IXI198,-42,-32
sub-IXI199,-36,-38
sub-IXI200,-32,-56
sub-IXI201,-98,-94
sub-IXI202,-62,-90
sub-IXI204,-62,-104
sub-IXI205,-46,-56
sub-IXI206,-66,-68
sub-IXI207,-46,-48
sub-IXI208,-44,-46
sub-IXI209,-18,-28
sub-IXI210,-44,-30
sub-IXI211,-68,-74
sub-IXI212,-40,-74
sub-IXI213,-52,-58
sub-IXI214,-64,-108
sub-IXI216,-100,-116
sub-IXI217,-56,-60
sub-IXI218,-90,-70
sub-IXI219,-14,-34
sub-IXI221,-74,-88
sub-IXI222,-18,-16
sub-IXI223,-24,-26
sub-IXI224,-32,-40
sub-IXI225,-28,-36
sub-IXI226,-134,-144
sub-IXI227,-24,-8
sub-IXI228,-26,-26
sub-IXI229,-94,-46
sub-IXI230,-86,-104
sub-IXI231,-58,-78
sub-IXI232,-106,-84
sub-IXI233,-84,-62
sub-IXI234,-116,-108
sub-IXI236,-68,-36
sub-IXI237,-88,-92
sub-IXI238,-64,-60
sub-IXI239,-86,-106
sub-IXI240,-24,-34
sub-IXI241,-30,-36
sub-IXI242,-52,-90
sub-IXI244,-20,-10
sub-IXI246,-30,-22
sub-IXI247,-40,-20
sub-IXI248,-76,-58
sub-IXI249,-26,-24
sub-IXI250,-202,-128
sub-IXI251,-52,-62
sub-IXI252,-70,-102
sub-IXI253,-104,-114
sub-IXI254,-90,-98
sub-IXI255,-32,-72
sub-IXI256,-160,-116
sub-IXI257,-64,-68
sub-IXI258,-86,-110
sub-IXI259,-26,-72
sub-IXI260,-50,-14
sub-IXI261,-84,-144
sub-IXI262,-116,-98
sub-IXI263,-84,-78
sub-IXI264,-70,-88
sub-IXI265,-46,-30
sub-IXI266,-36,-32
sub-IXI267,-58,-70
sub-IXI268,-58,-38
sub-IXI269,-86,-90
sub-IXI270,-98,-76
sub-IXI274,-114,-126
sub-IXI275,-94,-126
sub-IXI276,-122,-106
sub-IXI277,-130,-94
sub-IXI278,-130,-152
sub-IXI279,-42,-34
sub-IXI280,-88,-78
sub-IXI282,-92,-96
sub-IXI284,-60,-38
sub-IXI285,-40,-42
sub-IXI286,-30,-26
sub-IXI287,-14,-42
sub-IXI288,-42,-68
sub-IXI289,-30,-24
sub-IXI290,-84,-68
sub-IXI291,-70,-68
sub-IXI292,-76,-122
sub-IXI293,-120,-132
sub-IXI294,-82,-72
sub-IXI295,-76,-74
sub-IXI296,-76,-66
sub-IXI297,-28,-38
sub-IXI298,-32,-56
sub-IXI299,-20,-26
sub-IXI300,-46,-24
sub-IXI302,-94,-98
sub-IXI303,-122,-96
sub-IXI304,-24,-22
sub-IXI305,-68,-54
sub-IXI306,-100,-86
sub-IXI307,-78,-96
sub-IXI308,-44,-36
sub-IXI310,-52,-58
sub-IXI311,-58,-44
sub-IXI312,-32,-32
sub-IXI313,-66,-110
sub-IXI314,-66,-74
sub-IXI315,-66,-76
sub-IXI316,-88,-98
sub-IXI317,-36,-32
sub-IXI318,-52,-38
sub-IXI319,-36,-28
sub-IXI320,-78,-58
sub-IXI321,-38,-18
sub-IXI322,-110,-120
sub-IXI324,-22,-20
sub-IXI325,-68,-50
sub-IXI326,-56,-82
sub-IXI327,-56,-58
sub-IXI328,-82,-60
sub-IXI329,-82,-54
sub-IXI330,-28,-86
sub-IXI331,-146,-124
sub-IXI332,-62,-76
sub-IXI333,-84,-94
sub-IXI334,-112,-156
sub-IXI335,-50,-56
sub-IXI336,-66,-50
sub-IXI337,-70,-54
sub-IXI338,-88,-58
sub-IXI340,-142,-146
sub-IXI341,-68,-90
sub-IXI342,-32,-28
sub-IXI344,-42,-14
sub-IXI345,-74,-106
sub-IXI347,-94,-92
sub-IXI348,-50,-40
sub-IXI350,-50,-28
sub-IXI351,-16,-36
sub-IXI353,-78,-52
sub-IXI354,-82,-56
sub-IXI356,-58,-56
sub-IXI357,-72,-74
sub-IXI358,-26,-26
sub-IXI359,-22,-18
sub-IXI360,-38,-18
sub-IXI361,-12,-36
sub-IXI362,-116,-86
sub-IXI363,-82,-98
sub-IXI364,-26,-24
sub-IXI365,-80,-58
sub-IXI367,-22,-16
sub-IXI368,-26,-40
sub-IXI369,-28,-34
sub-IXI370,-46,-52
sub-IXI371,-66,-30
sub-IXI372,-80,-50
sub-IXI373,-50,-42
sub-IXI375,-44,-60
sub-IXI376,-18,-48
sub-IXI377,-34,-36
sub-IXI378,-98,-62
sub-IXI379,-28,-10
sub-IXI380,-10,-8
sub-IXI381,-28,-22
sub-IXI382,-82,-78
sub-IXI383,-126,-84
sub-IXI384,-134,-162
sub-IXI385,-50,-76
sub-IXI386,-80,-84
sub-IXI387,-92,-94
sub-IXI388,-64,-72
sub-IXI389,-32,-30
sub-IXI390,-38,-28
sub-IXI391,-32,-44
sub-IXI392,-40,-36
sub-IXI393,-18,-16
sub-IXI394,-64,-42
sub-IXI395,-106,-134
sub-IXI396,-90,-102
sub-IXI397,-28,-14
sub-IXI398,-22,-26
sub-IXI399,-50,-36
sub-IXI400,-26,-26
sub-IXI401,-42,-38
sub-IXI402,-34,-44
sub-IXI403,-66,-54
sub-IXI404,-100,-106
sub-IXI405,-16,-16
sub-IXI406,-20,-36
sub-IXI407,-28,-24
sub-IXI408,-30,-14
sub-IXI409,-42,-46
sub-IXI410,-38,-36
sub-IXI411,-26,-24
sub-IXI412,-20,-18
sub-IXI413,-26,-42
sub-IXI414,-36,-30
sub-IXI415,-64,-70
sub-IXI416,-42,-46
sub-IXI417,-106,-94
sub-IXI418,-58,-40
sub-IXI419,-76,-70
sub-IXI420,-78,-62
sub-IXI422,-74,-66
sub-IXI423,-106,-86
sub-IXI424,-104,-72
sub-IXI425,-108,-88
sub-IXI426,-110,-98
sub-IXI427,-74,-76
sub-IXI428,-36,-52
sub-IXI429,-48,-26
sub-IXI430,-82,-58
sub-IXI431,-24,-28
sub-IXI432,-58,-46
sub-IXI433,-78,-94
sub-IXI434,-70,-30
sub-IXI435,-58,-38
sub-IXI436,-90,-82
sub-IXI437,-30,-40
sub-IXI438,-76,-40
sub-IXI439,-84,-74
sub-IXI440,-58,-88
sub-IXI441,-48,-60
sub-IXI442,-42,-70
sub-IXI443,-138,-138
sub-IXI444,-92,-90
sub-IXI445,-46,-66
sub-IXI446,-72,-64
sub-IXI447,-44,-44
sub-IXI448,-102,-62
sub-IXI449,-36,-44
sub-IXI450,-64,-62
sub-IXI451,-92,-90
sub-IXI452,-84,-76
sub-IXI453,-120,-132
sub-IXI454,-34,-30
sub-IXI455,-44,-46
sub-IXI456,-24,-4
sub-IXI457,-62,-68
sub-IXI458,-116,-48
sub-IXI459,-26,-28
sub-IXI460,-12,-14
sub-IXI461,-24,-10
sub-IXI462,-132,-86
sub-IXI463,-120,-66
sub-IXI464,-132,-132
sub-IXI465,-96,-92
sub-IXI467,-58,-32
sub-IXI468,-74,-66
sub-IXI469,-112,-80
sub-IXI470,-68,-84
sub-IXI473,-44,-48
sub-IXI474,-80,-58
sub-IXI475,-72,-62
sub-IXI476,-32,-50
sub-IXI477,-60,-52
sub-IXI478,-106,-92
sub-IXI479,-32,-20
sub-IXI480,-36,-38
sub-IXI481,-62,-94
sub-IXI482,-74,-76
sub-IXI483,-86,-80
sub-IXI484,-66,-82
sub-IXI485,-84,-120
sub-IXI486,-10,-16
sub-IXI487,-32,-60
sub-IXI488,-96,-96
sub-IXI489,-68,-54
sub-IXI490,-10,-24
sub-IXI491,-36,-12
sub-IXI492,-54,-52
sub-IXI493,-12,-26
sub-IXI494,-40,-38
sub-IXI495,-32,-48
sub-IXI496,-18,-22
sub-IXI497,-94,-92
sub-IXI498,-40,-98
sub-IXI499,-30,-36
sub-IXI501,-64,-68
sub-IXI502,-34,-36
sub-IXI503,-50,-46
sub-IXI504,-34,-38
sub-IXI505,-16,-14
sub-IXI506,-58,-34
sub-IXI507,-40,-32
sub-IXI508,-46,-48
sub-IXI510,-98,-96
sub-IXI511,-26,-26
sub-IXI512,-44,-24
sub-IXI515,-126,-90
sub-IXI516,-72,-56
sub-IXI517,-74,-98
sub-IXI518,-52,-76
sub-IXI519,-72,-106
sub-IXI521,-106,-112
sub-IXI522,-90,-112
sub-IXI523,-88,-100
sub-IXI524,-106,-118
sub-IXI525,-104,-98
sub-IXI526,-50,-80
sub-IXI527,-104,-98
sub-IXI528,-38,-38
sub-IXI531,-92,-78
sub-IXI532,-74,-60
sub-IXI533,-116,-102
sub-IXI534,-20,-22
sub-IXI535,-68,-56
sub-IXI536,-102,-70
sub-IXI537,-80,-80
sub-IXI538,-58,-60
sub-IXI539,-64,-52
sub-IXI541,-90,-86
sub-IXI542,-74,-78
sub-IXI543,-150,-116
sub-IXI544,-80,-78
sub-IXI546,-120,-100
sub-IXI547,-96,-108
sub-IXI548,-90,-86
sub-IXI549,-40,-32
sub-IXI550,-34,-34
sub-IXI551,-36,-32
sub-IXI552,-38,-36
sub-IXI553,-112,-80
sub-IXI554,-48,-52
sub-IXI555,-12,-40
sub-IXI556,-122,-94
sub-IXI558,-42,-42
sub-IXI559,-72,-86
sub-IXI560,-20,-28
sub-IXI561,-76,-46
sub-IXI562,-28,-38
sub-IXI563,-84,-84
sub-IXI565,-62,-68
sub-IXI566,-68,-62
sub-IXI567,-56,-60
sub-IXI568,-70,-88
sub-IXI569,-52,-48
sub-IXI571,-78,-90
sub-IXI572,-72,-112
sub-IXI573,-76,-68
sub-IXI574,-56,-56
sub-IXI575,-90,-84
sub-IXI576,-32,-34
sub-IXI577,-92,-98
sub-IXI578,-36,-48
sub-IXI579,-34,-32
sub-IXI582,-56,-32
sub-IXI584,-48,-50
sub-IXI585,-52,-46
sub-IXI586,-110,-114
sub-IXI587,-26,-28
sub-IXI588,-100,-90
sub-IXI589,-64,-76
sub-IXI591,-26,-32
sub-IXI592,-24,-46
sub-IXI593,-30,-34
sub-IXI594,-50,-30
sub-IXI595,-74,-100
sub-IXI596,-100,-106
sub-IXI597,-58,-64
sub-IXI598,-86,-80
sub-IXI599,-102,-116
sub-IXI600,-138,-112
sub-IXI601,-94,-102
sub-IXI603,-58,-80
sub-IXI605,-102,-106
sub-IXI606,-60,-54
sub-IXI607,-40,-50
sub-IXI608,-78,-82
sub-IXI609,-94,-72
sub-IXI610,-76,-78
sub-IXI611,-122,-96
sub-IXI612,-92,-100
sub-IXI613,-112,-82
sub-IXI614,-60,-88
sub-IXI616,-18,-4
sub-IXI617,-40,-36
sub-IXI618,-28,-30
sub-IXI619,-42,-36
sub-IXI621,-40,-36
sub-IXI622,-42,-16
sub-IXI623,-20,-16
sub-IXI625,-34,-40
sub-IXI626,-38,-56
sub-IXI627,-40,-18
sub-IXI629,-16,-18
sub-IXI630,-140,-132
sub-IXI631,-78,-96
sub-IXI632,-66,-36
sub-IXI633,-112,-136
sub-IXI634,-122,-138
sub-IXI635,-168,-140
sub-IXI636,-170,-154
sub-IXI637,-64,-64
sub-IXI638,-98,-76
sub-IXI639,-68,-64
sub-IXI640,-86,-114
sub-IXI641,-52,-80
sub-IXI642,-26,-30
sub-IXI643,-66,-88
sub-IXI644,-8,-16
sub-IXI646,-68,-100
sub-IXI648,-38,-42
sub-IXI651,-34,-30
sub-IXI652,-38,-54
sub-IXI653,-58,-54
sub-IXI661,-54,-64
sub-IXI662,-32,-26
